@relation relation name
@attribute Title string
@attribute Author1 string
@attribute Author2 string
@attribute Author3 string
@attribute Author4 string
@attribute Author5 string
@attribute Author6 string
@attribute Author7 string
@attribute Edition_Type string
@attribute Edition_Month string
@attribute Edition_Year integer
@attribute Reviews integer
@attribute Ratings real
@attribute Genre1 string
@attribute Genre2 string
@attribute Book_Category1 string
@attribute Book_Category2 string
@data
'THE COMPLETE SHERLOCK HOLMES: 2 BOXES SETS','SIR ARTHUR CONAN DOYLE','NONE','NONE','NONE','NONE','NONE','NONE','MASS MARKET PAPERBACK','OCT',1986,960,4.4,'SHORT STORIES (BOOKS)','NONE','CRIME','THRILLER & MYSTERY'
'LEARN DOCKER - FUNDAMENTALS OF DOCKER 18.X: EVERYTHING YOU NEED TO KNOW ABOUT CONTAINERIZING YOUR APPLICATIONS AND RUNNING THEM IN PRODUCTION','GABRIEL N. SCHENKER','NONE','NONE','NONE','NONE','NONE','NONE','PAPERBACK','APR',2018,1,5.0,'OPERATING SYSTEMS TEXTBOOKS','NONE','COMPUTING','INTERNET & DIGITAL MEDIA'
'BIG GIRL','DANIELLE STEEL','NONE','NONE','NONE','NONE','NONE','NONE','PAPERBACK','MAR',2011,4,5.0,'ROMANCE (BOOKS)','NONE','ROMANCE','NONE'
'THINK PYTHON: HOW TO THINK LIKE A COMPUTER SCIENTIST','ALLEN B. DOWNEY','NONE','NONE','NONE','NONE','NONE','NONE','PAPERBACK','NONE',2016,11,4.1,'PROGRAMMING','SOFTWARE DEVELOPMENT','COMPUTING','INTERNET & DIGITAL MEDIA'
'OXFORD WORD SKILLS: ADVANCED - IDIOMS & PHRASAL VERBS STUDENT BOOK WITH KEY','REDMAN GAIRNS','NONE','NONE','NONE','NONE','NONE','NONE','PAPERBACK','DEC',2011,9,4.4,'LINGUISTICS (BOOKS)','NONE','LANGUAGE','LINGUISTICS & WRITING'
'UNDERSTANDING A PHOTOGRAPH (PENGUIN MODERN CLASSICS)','JOHN BERGER','NONE','NONE','NONE','NONE','NONE','NONE','PAPERBACK','NOV',2013,2,5.0,'ARTS HISTORY, THEORY','CRITICISM','ARTS','FILM & PHOTOGRAPHY'
'DANCE MUSIC MANUAL','RICK SNOMAN','NONE','NONE','NONE','NONE','NONE','NONE','PAPERBACK','FEB',2019,1,5.0,'MUSIC BOOKS','NONE','COMPUTING','INTERNET & DIGITAL MEDIA'
'A CLASH OF KINGS (A SONG OF ICE AND FIRE)','GEORGE R.R. MARTIN','NONE','NONE','NONE','NONE','NONE','NONE','PAPERBACK','MAR',2012,117,4.3,'ACTION','ADVENTURE','CRIME','THRILLER & MYSTERY'
'AN ERA OF DARKNESS: THE BRITISH EMPIRE IN INDIA','SHASHI THAROOR','NONE','NONE','NONE','NONE','NONE','NONE','HARDCOVER','OCT',2016,550,4.4,'ASIAN HISTORY','NONE','POLITICS','NONE'
'DOING JUSTICE: A PROSECUTOR’S THOUGHTS ON CRIME, PUNISHMENT AND THE RULE OF LAW','PREET BHARARA','NONE','NONE','NONE','NONE','NONE','NONE','PAPERBACK','MAR',2019,6,4.4,'TRUE ACCOUNTS (BOOKS)','NONE','ACTION & ADVENTURE','NONE'
"COURTNEY'S WAR",'WILBUR SMITH','NONE','NONE','NONE','NONE','NONE','NONE','PAPERBACK','SEP',2018,12,3.3,'ACTION','ADVENTURE','ROMANCE','NONE'
"A RING FOR THE GREEK'S BABY (ONE NIGHT WITH CONSEQUENCES)",'MELANIE MILBURNE','NONE','NONE','NONE','NONE','NONE','NONE','PAPERBACK','JUL',2017,1,5.0,'ROMANCE (BOOKS)','NONE','ROMANCE','NONE'
"ALICE'S ADVENTURES IN WONDERLAND AND THROUGH THE LOOKING GLASS (PENGUIN CLASSICS)",'LEWIS CARROLL','NONE','NONE','NONE','NONE','NONE','NONE','PAPERBACK','APR',2003,39,4.2,'SHORT STORIES (BOOKS)','NONE','ACTION & ADVENTURE','NONE'
'THE NATYASATRA, THE','ADYA RANGACHARYA','NONE','NONE','NONE','NONE','NONE','NONE','HARDCOVER','DEC',1996,1,5.0,'HUMOUR (BOOKS)','NONE','HUMOUR','NONE'
'GREEN HILLS OF AFRICA (VINTAGE CLASSICS)','ERNEST HEMINGWAY','NONE','NONE','NONE','NONE','NONE','NONE','PAPERBACK','MAR',2004,2,3.0,'HUNTING (BOOKS)','NONE','SPORTS','NONE'
'ANATOMY FOR 3D ARTISTS: THE ESSENTIAL GUIDE FOR CG PROFESSIONALS','CHRIS LEGASPI','NONE','NONE','NONE','NONE','NONE','NONE','PAPERBACK','NOV',2015,5,4.3,'SCULPTURE','NONE','COMPUTING','INTERNET & DIGITAL MEDIA'
"IF TRUTH BE TOLD: A MONK'S MEMOIR",'OM SWAMI','NONE','NONE','NONE','NONE','NONE','NONE','HARDCOVER','DEC',2014,558,4.7,'BIOGRAPHIES','AUTOBIOGRAPHIES','BIOGRAPHIES','DIARIES & TRUE ACCOUNTS'
