Title,Author1,Author2,Author3,Author4,Author5,Author6,Author7,Edition_Type,Edition_Month,Edition_Year,Reviews,Ratings,Genre1,Genre2,Book_Category1,Book_Category2
6707,4151,3264,3264,3264,3264,3264,3264,24,24,1986,960,4.4,369,296,5,16
6227,1714,3264,3264,3264,3264,3264,3264,25,13,2018,1,5.0,303,296,4,9
5746,1301,3264,3264,3264,3264,3264,3264,25,20,2011,4,5.0,354,296,14,12
6959,590,3264,3264,3264,3264,3264,3264,25,22,2016,11,4.1,330,383,4,9
6427,3652,3264,3264,3264,3264,3264,3264,25,15,2011,9,4.4,259,296,10,11
7004,2280,3264,3264,3264,3264,3264,3264,25,23,2013,2,5.0,26,112,1,7
5874,3712,3264,3264,3264,3264,3264,3264,25,16,2019,1,5.0,287,296,4,9
5590,1778,3264,3264,3264,3264,3264,3264,25,20,2012,117,4.3,0,3,5,16
5668,4069,3264,3264,3264,3264,3264,3264,22,24,2016,550,4.4,28,296,13,12
5918,3498,3264,3264,3264,3264,3264,3264,25,20,2019,6,4.4,428,296,0,12
5851,4654,3264,3264,3264,3264,3264,3264,25,25,2018,12,3.3,0,3,14,12
5616,2981,3264,3264,3264,3264,3264,3264,25,18,2017,1,5.0,354,296,14,12
5650,2684,3264,3264,3264,3264,3264,3264,25,13,2003,39,4.2,369,296,0,12
6835,503,3264,3264,3264,3264,3264,3264,22,15,1996,1,5.0,218,296,8,12
6056,1640,3264,3264,3264,3264,3264,3264,25,20,2004,2,3.0,219,296,15,12
5672,1170,3264,3264,3264,3264,3264,3264,25,23,2015,5,4.3,364,296,4,9
6137,3291,3264,3264,3264,3264,3264,3264,22,15,2014,558,4.7,43,35,2,6
5870,1254,3264,3264,3264,3264,3264,3264,22,13,2018,1,5.0,118,296,1,7
6965,2914,3264,3264,3264,3264,3264,3264,25,17,2018,1,3.0,412,388,8,12
6960,3270,3264,3264,3264,3264,3264,3264,24,13,1985,2,4.0,389,296,10,11
7044,2407,3264,3264,3264,3264,3264,3264,25,19,2017,2,5.0,74,296,2,6
6852,2040,3264,3264,3264,3264,3264,3264,25,25,2015,45,4.6,123,296,10,11
5727,3267,3264,3264,3264,3264,3264,3264,25,19,2017,2,3.5,43,35,8,12
5886,1468,3264,3264,3264,3264,3264,3264,22,24,2016,19,4.5,140,345,3,12
5862,665,3264,3264,3264,3264,3264,3264,25,18,2016,2,4.5,110,296,8,12
5593,436,183,3264,3264,3264,3264,3264,25,13,2016,2,4.5,56,296,10,11
6796,4613,3264,3264,3264,3264,3264,3264,25,18,1997,13,4.1,24,296,1,7
6113,3587,3264,3264,3264,3264,3264,3264,25,22,2017,46,4.4,251,406,10,11
6466,816,246,3264,3264,3264,3264,3264,25,15,2010,8,4.0,326,296,13,12
6970,4654,3264,3264,3264,3264,3264,3264,24,14,1991,1,1.0,0,3,0,12
6490,758,3264,3264,3264,3264,3264,3264,25,23,2011,3,4.6,43,35,2,6
6771,2689,3264,3264,3264,3264,3264,3264,25,14,2013,32,3.6,354,296,5,16
5670,4670,3264,3264,3264,3264,3264,3264,25,21,2015,5,3.9,252,448,10,11
6828,505,3264,3264,3264,3264,3264,3264,25,21,2019,48,4.6,0,3,0,12
6495,2084,3264,3264,3264,3264,3264,3264,25,22,2016,8,4.1,330,383,4,9
6385,3667,11,3264,3264,3264,3264,3264,25,15,2005,4,4.7,96,267,3,12
5969,2546,3264,3264,3264,3264,3264,3264,20,14,2013,2,5.0,197,107,8,12
6228,1517,3264,3264,3264,3264,3264,3264,25,22,2013,9,5.0,259,296,10,11
5814,1119,3264,3264,3264,3264,3264,3264,22,19,2014,2,4.0,243,296,4,9
6569,2966,3264,3264,3264,3264,3264,3264,25,14,2017,1,5.0,86,296,8,12
6060,1468,3264,3264,3264,3264,3264,3264,22,16,2015,2,5.0,0,3,0,12
5958,2086,3264,3264,3264,3264,3264,3264,22,25,2015,2,5.0,413,314,13,12
5867,1569,3264,3264,3264,3264,3264,3264,25,17,1994,5,4.5,19,296,13,12
5700,2176,3264,3264,3264,3264,3264,3264,25,23,2014,59,4.4,267,296,3,12
6431,3598,3264,3264,3264,3264,3264,3264,25,21,2018,3,4.4,0,3,0,12
6440,924,3264,3264,3264,3264,3264,3264,25,21,2016,91,4.5,111,289,5,16
5708,3297,397,3264,3264,3264,3264,3264,25,24,2016,1,1.0,267,296,3,12
6347,2587,3264,3264,3264,3264,3264,3264,25,14,2016,5,4.7,267,296,3,12
6516,3764,3264,3264,3264,3264,3264,3264,25,25,1996,3,5.0,43,35,1,7
5738,2545,3264,3264,3264,3264,3264,3264,25,23,2003,7,4.1,267,296,3,12
6814,2349,3264,3264,3264,3264,3264,3264,25,23,2009,2,5.0,218,296,8,12
6031,1811,3264,3264,3264,3264,3264,3264,25,15,2008,6,4.2,42,296,4,9
6270,1301,3264,3264,3264,3264,3264,3264,25,20,2009,2,4.0,354,296,14,12
6537,3631,3264,3264,3264,3264,3264,3264,25,19,2018,24,4.2,0,3,0,12
5944,497,3264,3264,3264,3264,3264,3264,25,25,2016,6,4.6,9,296,4,9
5984,2595,3264,3264,3264,3264,3264,3264,25,16,2012,7,5.0,411,296,1,7
5823,2712,3264,3264,3264,3264,3264,3264,22,21,2019,11,4.9,43,35,2,6
6840,2231,3264,3264,3264,3264,3264,3264,25,20,2016,1,3.0,449,296,1,7
6055,3449,3264,3264,3264,3264,3264,3264,25,24,2018,1,5.0,111,289,5,16
5611,762,3264,3264,3264,3264,3264,3264,25,19,2018,1,4.0,82,296,3,12
6258,3204,3264,3264,3264,3264,3264,3264,25,24,1995,71,4.3,43,35,13,12
6357,4085,3264,3264,3264,3264,3264,3264,25,20,2017,9,4.8,267,296,3,12
6205,4418,3264,3264,3264,3264,3264,3264,25,16,2005,3,4.6,259,296,10,11
5690,2390,3264,3264,3264,3264,3264,3264,25,22,2015,3,3.3,25,296,4,9
6402,3292,3264,3264,3264,3264,3264,3264,25,18,2016,1,3.0,267,296,3,12
6283,3067,3264,3264,3264,3264,3264,3264,25,23,2004,3,5.0,144,296,8,12
