@relation relation name
@attribute Title string
@attribute Author1 string
@attribute Author2 string
@attribute Author3 string
@attribute Author4 string
@attribute Author5 string
@attribute Author6 string
@attribute Author7 string
@attribute Edition_Type string
@attribute Edition_Month string
@attribute Edition_Year integer
@attribute Reviews integer
@attribute Ratings real
@attribute Genre1 string
@attribute Genre2 string
@attribute Book_Category1 string
@attribute Book_Category2 string
@data
"THE PRISONER'S GOLD (THE HUNTERS 3)",'CHRIS KUZNESKI','NONE','NONE','NONE','NONE','NONE','NONE','PAPERBACK','MAR',2016,8,4.0,'ACTION','ADVENTURE','ACTION & ADVENTURE','NONE'
'GURU DUTT: A TRAGEDY IN THREE ACTS','ARUN KHOPKAR','NONE','NONE','NONE','NONE','NONE','NONE','PAPERBACK','NOV',2012,14,3.9,'CINEMA','BROADCAST','BIOGRAPHIES','DIARIES & TRUE ACCOUNTS'
'LEVIATHAN (PENGUIN CLASSICS)','THOMAS HOBBES','NONE','NONE','NONE','NONE','NONE','NONE','PAPERBACK','FEB',1982,6,4.8,'INTERNATIONAL RELATIONS','NONE','HUMOUR','NONE'
'A POCKET FULL OF RYE (MISS MARPLE)','AGATHA CHRISTIE','NONE','NONE','NONE','NONE','NONE','NONE','PAPERBACK','OCT',2017,13,4.1,'CONTEMPORARY FICTION (BOOKS)','NONE','CRIME','THRILLER & MYSTERY'
'LIFE 70 YEARS OF EXTRAORDINARY PHOTOGRAPHY','EDITORS OF LIFE','NONE','NONE','NONE','NONE','NONE','NONE','HARDCOVER','OCT',2006,1,5.0,'PHOTOGRAPHY TEXTBOOKS','NONE','ARTS','FILM & PHOTOGRAPHY'
'CHIRUNNING: A REVOLUTIONARY APPROACH TO EFFORTLESS, INJURY-FREE RUNNING','DANNY DREYER','NONE','NONE','NONE','NONE','NONE','NONE','PAPERBACK','MAY',2009,8,4.5,'HEALTHY LIVING','WELLNESS','SPORTS','NONE'
'DEATH ON THE NILE (POIROT)','AGATHA CHRISTIE','NONE','NONE','NONE','NONE','NONE','NONE','PAPERBACK','OCT',2017,72,4.4,'CRIME, THRILLER','MYSTERY','CRIME','THRILLER & MYSTERY'
'YOGA YOUR HOME PRACTICE COMPANION: A COMPLETE PRACTICE AND LIFESTYLE GUIDE: YOGA PROGRAMMES, MEDITATION EXERCISES, AND NOURISHING RECIPES (SIVANANDA YOGA VEDANTA CENTRE)','SIVANANDA YOGA VEDANTA CENTRE','NONE','NONE','NONE','NONE','NONE','NONE','HARDCOVER','MAR',2018,16,4.7,'SPORTS TRAINING','COACHING','SPORTS','NONE'
'KARMAYOGI: A BIOGRAPHY OF E. SREEDHARAN','M S ASHOKAN','NONE','NONE','NONE','NONE','NONE','NONE','PAPERBACK','DEC',2015,111,4.2,'BIOGRAPHIES','AUTOBIOGRAPHIES','BIOGRAPHIES','DIARIES & TRUE ACCOUNTS'
'THE IRON KING (THE ACCURSED KINGS, BOOK 1)','MAURICE DRUON','NONE','NONE','NONE','NONE','NONE','NONE','PAPERBACK','MAR',2013,1,4.0,'ACTION','ADVENTURE','ACTION & ADVENTURE','NONE'
'BATTLE FOR SANSKRIT: IS SANSKRIT POLITICAL OR SACRED? OPPRESSIVE OR LIBERATING? DEAD OR ALIVE?','RAJIV MALHOTRA','NONE','NONE','NONE','NONE','NONE','NONE','PAPERBACK','JAN',2017,132,4.9,'ASIAN HISTORY','NONE','LANGUAGE','LINGUISTICS & WRITING'
'BLOCKCHAIN REVOLUTION: HOW THE TECHNOLOGY BEHIND BITCOIN AND OTHER CRYPTOCURRENCIES IS CHANGING THE WORLD','DON TAPSCOTT',' ALEX TAPSCOTT','NONE','NONE','NONE','NONE','NONE','PAPERBACK','JUN',2018,17,3.5,'BANKS','BANKING','COMPUTING','INTERNET & DIGITAL MEDIA'
'TAI-PAN: THE SECOND NOVEL OF THE ASIAN SAGA','JAMES CLAVELL','NONE','NONE','NONE','NONE','NONE','NONE','PAPERBACK','JUL',1999,4,4.1,'ACTION','ADVENTURE','ACTION & ADVENTURE','NONE'
'THE ART OF SHAOLIN KUNG FU: THE SECRETS OF KUNG FU FOR SELF-DEFENSE, HEALTH, AND ENLIGHTENMENT (TUTTLE MARTIAL ARTS)','WONG KIEW KIT','NONE','NONE','NONE','NONE','NONE','NONE','PAPERBACK','NOV',2002,3,5.0,'ASIAN HISTORY','NONE','SPORTS','NONE'
"ANIL'S GHOST",'MICHAEL ONDAATJE','NONE','NONE','NONE','NONE','NONE','NONE','PAPERBACK','SEP',2011,5,3.8,'ACTION','ADVENTURE','ROMANCE','NONE'
'SUPERMAN: AN ORIGIN STORY (DC COMICS SUPER HEROES)','MATTHEW K MANNING','NONE','NONE','NONE','NONE','NONE','NONE','PAPERBACK','FEB',2015,2,5.0,'COMICS','MANGAS','COMICS & MANGAS','NONE'
'MY FIRST BOOK OF LONDON','CHARLOTTE GUILLAIN',' ROLAND DRY','NONE','NONE','NONE','NONE','NONE','HARDCOVER','MAR',2018,1,5.0,"CHILDREN'S MYSTERIES",'CURIOSITIES','CRIME','THRILLER & MYSTERY'
"NARUTO: ITACHI'S STORY, VOL. 1: DAYLIGHT",'TAKASHI YANO','NONE','NONE','NONE','NONE','NONE','NONE','PAPERBACK','NOV',2016,23,4.9,'MANGAS','NONE','COMICS & MANGAS','NONE'
'THE STORY OF PHILOSOPHY','WILL DURANT','NONE','NONE','NONE','NONE','NONE','NONE','MASS MARKET PAPERBACK','JAN',1991,76,4.5,'BIOGRAPHIES','AUTOBIOGRAPHIES','BIOGRAPHIES','DIARIES & TRUE ACCOUNTS'
'INTRODUCING DATA SCIENCE: BIG DATA, MACHINE LEARNING, AND MORE, USING PYTHON TOOLS','DAVY CIELEN',' ARNO D.B. MEYSMAN',' MOHAMED ALI','NONE','NONE','NONE','NONE','PAPERBACK','NONE',2016,5,4.3,'ARTIFICIAL INTELLIGENCE','NONE','COMPUTING','INTERNET & DIGITAL MEDIA'
'THE TRAVELLING CAT CHRONICLES','HIRO ARIKAWA','NONE','NONE','NONE','NONE','NONE','NONE','HARDCOVER','NOV',2018,10,4.9,'ACTION','ADVENTURE','ACTION & ADVENTURE','NONE'
'MESSI: UPDATED EDITION (LUCA CAIOLI)','LUCA CAIOLI','NONE','NONE','NONE','NONE','NONE','NONE','PAPERBACK','OCT',2018,2,5.0,'BIOGRAPHIES','AUTOBIOGRAPHIES','SPORTS','NONE'
'THE DARK ARENA','MARIO PUZO','NONE','NONE','NONE','NONE','NONE','NONE','PAPERBACK','JUL',2012,2,3.1,'ACTION','ADVENTURE','ACTION & ADVENTURE','NONE'
"SAP FICO BEGINNER'S HANDBOOK: STEP BY STEP ACREENSHOTS GUIDED HANDHOLDING APPROACH TO LEARNING, SAP FOR DUMMIES, SAP BOOKS: VOLUME 1 (SAP FICO BOOKS)",'MURUGESAN RAMASWAMY','NONE','NONE','NONE','NONE','NONE','NONE','PAPERBACK','NOV',2014,10,3.1,'SOFTWARE','BUSINESS APPLICATIONS','COMPUTING','INTERNET & DIGITAL MEDIA'
'GERMAN GRAMMAR YOU REALLY NEED TO KNOW: TEACH YOURSELF','JENNY RUSS','NONE','NONE','NONE','NONE','NONE','NONE','PAPERBACK','AUG',2012,9,4.8,'GERMAN','NONE','LANGUAGE','LINGUISTICS & WRITING'
'STEALTH OF NATIONS: THE GLOBAL RISE OF THE INFORMAL ECONOMY','ROBERT NEUWIRTH','NONE','NONE','NONE','NONE','NONE','NONE','HARDCOVER','OCT',2011,1,4.0,'INTERNATIONAL BUSINESS','NONE','POLITICS','NONE'
'FIXED!: CASH AND CORRUPTION IN CRICKET','SHANTANU GUHA RAY','NONE','NONE','NONE','NONE','NONE','NONE','PAPERBACK','MAR',2016,15,4.3,'CRICKET (BOOKS)','NONE','SPORTS','NONE'
'THE BUDDHA BOX SET','OSAMU TEZUKA','NONE','NONE','NONE','NONE','NONE','NONE','PAPERBACK','JUN',2014,34,4.3,'COMICS','GRAPHIC NOVELS','COMICS & MANGAS','NONE'
'30 YEARS OF WRESTLEMANIA (WWE)','BRIAN SHIELDS','NONE','NONE','NONE','NONE','NONE','NONE','HARDCOVER','SEP',2014,17,5.0,'PC','VIDEO GAMES','SPORTS','NONE'
'MEMORIES, DREAMS, REFLECTIONS (VINTAGE)','C. G. JUNG',' ANIELA JAFFE',' CLARA WINSTON',' RICHARD WINSTON','NONE','NONE','NONE','PAPERBACK','APR',1989,9,5.0,'BIOGRAPHIES','AUTOBIOGRAPHIES','BIOGRAPHIES','DIARIES & TRUE ACCOUNTS'
'THE HIT (WILL ROBIE SERIES)','DAVID BALDACCI','NONE','NONE','NONE','NONE','NONE','NONE','PAPERBACK','NOV',2013,32,4.0,'CONTEMPORARY FICTION (BOOKS)','NONE','CRIME','THRILLER & MYSTERY'
'THE ARCHER FILES: THE COMPLETE SHORT STORIES OF LEW ARCHER, PRIVATE INVESTIGATOR (LEW ARCHER SERIES)','ROSS MACDONALD',' TOM NOLAN','NONE','NONE','NONE','NONE','NONE','PAPERBACK','JUL',2015,2,3.9,'SHORT STORIES (BOOKS)','NONE','HUMOUR','NONE'
'LIGHT ON LIFE (ARKANA)','HART DEFOUW','NONE','NONE','NONE','NONE','NONE','NONE','PAPERBACK','OCT',2000,49,4.4,'ASTROLOGY','NONE','BIOGRAPHIES','DIARIES & TRUE ACCOUNTS'
'THE DOOMSDAY CONSPIRACY','SIDNEY SHELDON','NONE','NONE','NONE','NONE','NONE','NONE','PAPERBACK','SEP',2005,49,4.2,'ROMANCE (BOOKS)','NONE','ROMANCE','NONE'
"THE ART OF UNCHARTED 4: A THIEF'S END",'NAUGHTY DOG','NONE','NONE','NONE','NONE','NONE','NONE','HARDCOVER','MAY',2016,10,4.3,'DESIGN','NONE','COMICS & MANGAS','NONE'
'HANNIBAL RISING','THOMAS HARRIS','NONE','NONE','NONE','NONE','NONE','NONE','PAPERBACK','NONE',2019,8,4.3,'CONTEMPORARY FICTION (BOOKS)','NONE','CRIME','THRILLER & MYSTERY'
'DATA STRUCTURES USING C','REEMA THAREJA','NONE','NONE','NONE','NONE','NONE','NONE','PAPERBACK','JUN',2014,62,4.4,'INTRODUCTORY','BEGINNING PROGRAMMING','LANGUAGE','LINGUISTICS & WRITING'
"DON'T ASK ANY OLD BLOKE FOR DIRECTIONS",'PALDEN GYATSO TENZING','NONE','NONE','NONE','NONE','NONE','NONE','PAPERBACK','APR',2009,61,3.9,'TRAVEL (BOOKS)','NONE','BIOGRAPHIES','DIARIES & TRUE ACCOUNTS'
'PRINCE OF FIRE','DANIEL SILVA','NONE','NONE','NONE','NONE','NONE','NONE','PAPERBACK','NOV',2006,1,5.0,'ACTION','ADVENTURE','CRIME','THRILLER & MYSTERY'
"HBR'S 10 MUST READS: ON MAKING SMART DECISIONS (HARVARD BUSINESS REVIEW MUST READS)",'HBR','NONE','NONE','NONE','NONE','NONE','NONE','PAPERBACK','DEC',2013,8,4.6,'SPORTS (BOOKS)','NONE','SPORTS','NONE'
'POLITICS AND THE ENGLISH LANGUAGE (PENGUIN MODERN CLASSICS)','GEORGE ORWELL','NONE','NONE','NONE','NONE','NONE','NONE','PAPERBACK','JAN',2013,7,5.0,'COMMUNICATIONS','NONE','LANGUAGE','LINGUISTICS & WRITING'
'S.','DOUG DORST','NONE','NONE','NONE','NONE','NONE','NONE','HARDCOVER','SEP',2013,5,4.7,'CONTEMPORARY FICTION (BOOKS)','NONE','CRIME','THRILLER & MYSTERY'
"OXFORD LEARNER'S THESAURUS",'DICT.','NONE','NONE','NONE','NONE','NONE','NONE','PAPERBACK','AUG',2008,18,3.8,'FOREIGN LANGUAGES','NONE','LANGUAGE','LINGUISTICS & WRITING'
'LOST IN TRANSLATION','ELLA FRANCES SANDERS','NONE','NONE','NONE','NONE','NONE','NONE','HARDCOVER','JUL',2015,16,4.5,'LINGUISTICS (BOOKS)','NONE','LANGUAGE','LINGUISTICS & WRITING'
'DAISY JONES AND THE SIX','TAYLOR JENKINS REID','NONE','NONE','NONE','NONE','NONE','NONE','HARDCOVER','NONE',2019,6,4.6,'MUSIC BOOKS','NONE','ROMANCE','NONE'
'BEAR GRYLLS: TWO ALL-ACTION ADVENTURES: FACING UP - FACING THE FROZEN OCEAN','BEAR GRYLLS','NONE','NONE','NONE','NONE','NONE','NONE','PAPERBACK','JUL',2014,3,5.0,'OUTDOOR SURVIVAL SKILLS (BOOKS)','NONE','SPORTS','NONE'
'MY FIRST BOOK OF BEETHOVEN: FAVORITE PIECES IN EASY PIANO ARRANGEMENTS (DOVER CLASSICAL MUSIC FOR KEYBOARD)','DAVID DUTKANICZ','NONE','NONE','NONE','NONE','NONE','NONE','PAPERBACK','DEC',2006,2,5.0,'MUSIC BOOKS','NONE','ARTS','FILM & PHOTOGRAPHY'
'BYCULLA TO BANGKOK','S. HUSSAIN ZAIDI','NONE','NONE','NONE','NONE','NONE','NONE','PAPERBACK','FEB',2014,98,4.1,'TRUE ACCOUNTS (BOOKS)','NONE','BIOGRAPHIES','DIARIES & TRUE ACCOUNTS'
"ASSASSIN'S CREED: FORSAKEN",'OLIVER BOWDEN','NONE','NONE','NONE','NONE','NONE','NONE','PAPERBACK','NOV',2012,12,4.8,'ACTION','ADVENTURE','ACTION & ADVENTURE','NONE'
'MASTERING MANGA WITH MARK CRILLEY: 30 DRAWING LESSONS FROM THE CREATOR OF AKIKO','MARK CRILLEY','NONE','NONE','NONE','NONE','NONE','NONE','PAPERBACK','MAR',2012,14,4.8,'MANGAS','NONE','ARTS','FILM & PHOTOGRAPHY'
