Title,Author1,Author2,Author3,Author4,Author5,Author6,Author7,Edition_Type,Edition_Month,Edition_Year,Reviews,Ratings,Genre1,Genre2,Book_Category1,Book_Category2
5802,1168,3264,3264,3264,3264,3264,3264,13,7,2016,8,4.0,0,3,0,12
2120,795,3264,3264,3264,3264,3264,3264,13,10,2012,14,3.9,88,51,2,6
2984,4423,3264,3264,3264,3264,3264,3264,13,3,1982,6,4.8,236,296,8,12
189,505,3264,3264,3264,3264,3264,3264,13,11,2017,13,4.1,106,296,5,16
2987,1551,3264,3264,3264,3264,3264,3264,8,11,2006,1,5.0,316,296,1,7
1045,1302,3264,3264,3264,3264,3264,3264,13,8,2009,8,4.5,199,442,15,12
1341,505,3264,3264,3264,3264,3264,3264,13,11,2017,72,4.4,111,289,5,16
6727,4157,3264,3264,3264,3264,3264,3264,8,7,2018,16,4.7,397,92,15,12
2762,2761,3264,3264,3264,3264,3264,3264,13,2,2015,111,4.2,43,35,2,6
5455,2953,3264,3264,3264,3264,3264,3264,13,7,2013,1,4.0,0,3,0,12
673,3595,3264,3264,3264,3264,3264,3264,13,4,2017,132,4.9,28,296,10,11
805,1476,13,3264,3264,3264,3264,3264,13,6,2018,17,3.5,38,37,4,9
4695,2092,3264,3264,3264,3264,3264,3264,13,5,1999,4,4.1,0,3,0,12
4861,4692,3264,3264,3264,3264,3264,3264,13,10,2002,3,5.0,28,296,15,12
458,3027,3264,3264,3264,3264,3264,3264,13,12,2011,5,3.8,0,3,14,12
4664,2946,3264,3264,3264,3264,3264,3264,13,3,2015,2,5.0,96,267,3,12
3420,1140,330,3264,3264,3264,3264,3264,8,7,2018,1,5.0,79,115,5,16
3481,4347,3264,3264,3264,3264,3264,3264,13,10,2016,23,4.9,267,296,3,12
5997,4657,3264,3264,3264,3264,3264,3264,12,4,1991,76,4.5,43,35,2,6
2600,1400,32,247,3264,3264,3264,3264,13,9,2016,5,4.3,25,296,4,9
6093,1966,3264,3264,3264,3264,3264,3264,8,10,2018,10,4.9,0,3,0,12
3255,2742,3264,3264,3264,3264,3264,3264,13,11,2018,2,5.0,43,35,15,12
5128,2869,3264,3264,3264,3264,3264,3264,13,5,2012,2,3.1,0,3,0,12
4285,3130,3264,3264,3264,3264,3264,3264,13,10,2014,10,3.1,380,55,4,9
1987,2208,3264,3264,3264,3264,3264,3264,13,1,2012,9,4.8,180,296,10,11
4606,3761,3264,3264,3264,3264,3264,3264,8,11,2011,1,4.0,234,296,13,12
1822,4058,3264,3264,3264,3264,3264,3264,13,7,2016,15,4.3,110,296,15,12
4998,3297,3264,3264,3264,3264,3264,3264,13,6,2014,34,4.3,96,191,3,12
52,1005,3264,3264,3264,3264,3264,3264,8,12,2014,17,5.0,309,433,15,12
3240,1035,24,74,322,3264,3264,3264,13,0,1989,9,5.0,43,35,2,6
5395,1330,3264,3264,3264,3264,3264,3264,13,10,2013,32,4.0,106,296,5,16
4832,3828,404,3264,3264,3264,3264,3264,13,5,2015,2,3.9,369,296,8,12
2999,1915,3264,3264,3264,3264,3264,3264,13,11,2000,49,4.4,30,296,2,6
5180,4124,3264,3264,3264,3264,3264,3264,13,12,2005,49,4.2,354,296,14,12
4863,3186,3264,3264,3264,3264,3264,3264,8,8,2016,10,4.3,118,296,3,12
2154,4422,3264,3264,3264,3264,3264,3264,13,9,2019,8,4.3,106,296,5,16
1289,3656,3264,3264,3264,3264,3264,3264,13,6,2014,62,4.4,240,41,10,11
1469,3319,3264,3264,3264,3264,3264,3264,13,0,2009,61,3.9,421,296,2,6
3992,1299,3264,3264,3264,3264,3264,3264,13,10,2006,1,5.0,0,3,5,16
2197,1922,3264,3264,3264,3264,3264,3264,13,2,2013,8,4.6,395,296,15,12
3943,1775,3264,3264,3264,3264,3264,3264,13,4,2013,7,5.0,98,296,10,11
4251,1488,3264,3264,3264,3264,3264,3264,8,12,2013,5,4.7,106,296,5,16
3775,1451,3264,3264,3264,3264,3264,3264,13,1,2008,18,3.8,166,296,10,11
3063,1595,3264,3264,3264,3264,3264,3264,8,5,2015,16,4.5,259,296,10,11
1243,4372,3264,3264,3264,3264,3264,3264,8,9,2019,6,4.6,287,296,14,12
679,888,3264,3264,3264,3264,3264,3264,13,5,2014,3,5.0,305,296,15,12
3419,1337,3264,3264,3264,3264,3264,3264,13,2,2006,2,5.0,287,296,1,7
918,3882,3264,3264,3264,3264,3264,3264,13,3,2014,98,4.1,428,296,2,6
535,3284,3264,3264,3264,3264,3264,3264,13,10,2012,12,4.8,0,3,0,12
3196,2876,3264,3264,3264,3264,3264,3264,13,7,2012,14,4.8,267,296,1,7
6361,1213,3264,3264,3264,3264,3264,3264,13,4,2017,3,3.8,0,3,0,12
5209,1232,3264,3264,3264,3264,3264,3264,13,6,2016,97,4.4,262,296,2,6
